timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1615644982.5940614,None,2 3 1,None,hair,3.0317811965942383,0,False,False
1615644984.3352003,3 2 1,1 2 3,hair,sidepump,1.7261271476745605,0.005,False,False
1615644984.342207,3 2 1,2 1 3,hair,gun,0.0020012855529785156,0.005,False,False
1615644984.3492136,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644984.3562195,3 2 1,2 3 1,hair,hair,0.002001047134399414,0.005,True,False
1615644984.3622253,3 2 1,1 2 3,hair,hair,0.0020012855529785156,0.005,True,False
1615644984.37824,3 2 1,3 1 2,hair,gun,0.012010812759399414,0.005,False,False
1615644984.3842454,3 2 1,1 2 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.3932533,3 2 1,3 1 2,hair,gun,0.0030024051666259766,0.005,False,False
1615644984.3992589,3 2 1,3 1 2,hair,sidepump,0.002001047134399414,0.005,False,False
1615644984.4062653,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644984.4132721,3 2 1,1 2 3,hair,hair,0.003002166748046875,0.005,True,False
1615644984.4202788,3 2 1,3 1 2,hair,hair,0.003003358840942383,0.005,True,False
1615644984.4262838,3 2 1,2 3 1,hair,hair,0.002002239227294922,0.005,True,False
1615644984.4322894,3 2 1,3 2 1,hair,hair,0.002002239227294922,0.005,True,True
1615644984.4382944,3 2 1,3 1 2,hair,hair,0.002001047134399414,0.005,True,False
1615644984.4453008,3 2 1,1 3 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.4523077,3 2 1,3 2 1,hair,hair,0.0030024051666259766,0.005,True,True
1615644984.4603145,3 2 1,1 2 3,hair,hair,0.004003763198852539,0.005,True,False
1615644984.4673212,3 2 1,2 1 3,hair,hair,0.0030028820037841797,0.005,True,False
1615644984.4743273,3 2 1,2 1 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.4843364,3 2 1,3 2 1,hair,hair,0.006004810333251953,0.005,True,True
1615644984.4903424,3 2 1,2 1 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.5053558,3 2 1,1 2 3,hair,hair,0.010009050369262695,0.005,True,False
1615644984.5113614,3 2 1,3 2 1,hair,hair,0.002002239227294922,0.005,True,True
1615644984.5173662,3 2 1,3 1 2,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.5253737,3 2 1,1 2 3,hair,hair,0.0030028820037841797,0.005,True,False
1615644984.5323799,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644984.5383856,3 2 1,3 2 1,hair,hair,0.0030024051666259766,0.005,True,True
1615644984.5463936,3 2 1,1 3 2,hair,hair,0.003003358840942383,0.005,True,False
1615644984.5554008,3 2 1,1 2 3,hair,hair,0.004003286361694336,0.005,True,False
1615644984.5624075,3 2 1,1 3 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.569414,3 2 1,1 2 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.5754204,3 2 1,2 1 3,hair,hair,0.0020029544830322266,0.005,True,False
1615644984.5824256,3 2 1,3 2 1,hair,hair,0.0020020008087158203,0.005,True,True
1615644984.5884311,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644984.5954373,3 2 1,1 3 2,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.6024437,3 2 1,3 1 2,hair,hair,0.002001047134399414,0.005,True,False
1615644984.6104512,3 2 1,3 2 1,hair,hair,0.003002643585205078,0.005,True,True
1615644984.6184585,3 2 1,3 2 1,hair,hair,0.003002166748046875,0.005,True,True
1615644984.6244648,3 2 1,1 3 2,hair,hair,0.002002239227294922,0.005,True,False
1615644984.6314707,3 2 1,2 1 3,hair,hair,0.003002643585205078,0.005,True,False
1615644984.6364748,3 2 1,1 2 3,hair,hair,0.0010008811950683594,0.005,True,False
1615644984.6424806,3 2 1,2 3 1,hair,hair,0.002002239227294922,0.005,True,False
1615644984.6494868,3 2 1,1 3 2,hair,hair,0.003002643585205078,0.005,True,False
1615644984.6544914,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644984.6614978,3 2 1,3 2 1,hair,hair,0.003002643585205078,0.005,True,True
1615644984.6675034,3 2 1,1 2 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.67451,3 2 1,1 2 3,hair,hair,0.002002239227294922,0.005,True,False
1615644984.6795142,3 2 1,2 1 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.6845188,3 2 1,1 3 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.6905246,3 2 1,1 2 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.6985316,3 2 1,3 1 2,hair,hair,0.004004240036010742,0.005,True,False
1615644984.7045367,3 2 1,1 2 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.712544,3 2 1,1 2 3,hair,hair,0.004003047943115234,0.005,True,False
1615644984.7185497,3 2 1,3 2 1,hair,hair,0.0020020008087158203,0.005,True,True
1615644984.7255564,3 2 1,1 2 3,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.7325628,3 2 1,2 1 3,hair,hair,0.0030028820037841797,0.005,True,False
1615644984.7385676,3 2 1,1 3 2,hair,hair,0.002001047134399414,0.005,True,False
1615644984.744573,3 2 1,3 2 1,hair,hair,0.003001689910888672,0.005,True,True
1615644984.7505786,3 2 1,3 2 1,hair,hair,0.003002643585205078,0.005,True,True
1615644984.7585864,3 2 1,1 3 2,hair,hair,0.0040035247802734375,0.005,True,False
1615644984.7635906,3 2 1,3 1 2,hair,hair,0.001001119613647461,0.005,True,False
1615644984.7685955,3 2 1,1 3 2,hair,hair,0.0010008811950683594,0.005,True,False
1615644984.7735999,3 2 1,2 1 3,hair,hair,0.0010008811950683594,0.005,True,False
1615644984.7816072,3 2 1,3 2 1,hair,hair,0.0030024051666259766,0.005,True,True
1615644984.7876136,3 2 1,1 2 3,hair,hair,0.002002716064453125,0.005,True,False
1615644984.7946193,3 2 1,2 1 3,hair,hair,0.0020024776458740234,0.005,True,False
1615644984.8016255,3 2 1,3 2 1,hair,hair,0.0019290447235107422,0.005,True,True
1615644984.8076313,3 2 1,2 1 3,hair,hair,0.002001047134399414,0.005,True,False
1615644984.8156383,3 2 1,2 3 1,hair,hair,0.0030028820037841797,0.005,True,False
1615644984.8216436,3 2 1,1 2 3,hair,hair,0.0020012855529785156,0.005,True,False
1615644984.827649,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644984.8326533,3 2 1,2 1 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.8396597,3 2 1,2 3 1,hair,hair,0.002001523971557617,0.005,True,False
1615644984.8456652,3 2 1,3 2 1,hair,hair,0.003002643585205078,0.005,True,True
1615644984.85067,3 2 1,1 2 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.8566754,3 2 1,3 2 1,hair,hair,0.002001523971557617,0.005,True,True
1615644984.8626814,3 2 1,1 2 3,hair,hair,0.0010013580322265625,0.005,True,False
1615644984.8686864,3 2 1,1 3 2,hair,hair,0.002001523971557617,0.005,True,False
1615644984.8736906,3 2 1,3 1 2,hair,hair,0.0010004043579101562,0.005,True,False
1615644984.8796964,3 2 1,2 1 3,hair,hair,0.002000093460083008,0.005,True,False
1615644984.902717,3 2 1,2 1 3,hair,hair,0.01901698112487793,0.005,True,False
1615644984.9087226,3 2 1,3 1 2,hair,hair,0.002001047134399414,0.005,True,False
1615644984.9157288,3 2 1,3 2 1,hair,hair,0.003002643585205078,0.005,True,True
1615644984.9227355,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644984.929742,3 2 1,1 2 3,hair,hair,0.002002239227294922,0.005,True,False
1615644984.9367478,3 2 1,2 1 3,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.9427536,3 2 1,2 3 1,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.9487593,3 2 1,3 2 1,hair,hair,0.002001523971557617,0.005,True,True
1615644984.9547648,3 2 1,2 1 3,hair,hair,0.0030024051666259766,0.005,True,False
1615644984.9607704,3 2 1,1 2 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.9677765,3 2 1,2 3 1,hair,hair,0.0020020008087158203,0.005,True,False
1615644984.9737823,3 2 1,2 3 1,hair,hair,0.002002239227294922,0.005,True,False
1615644984.9807885,3 2 1,1 2 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644984.9867942,3 2 1,3 1 2,hair,hair,0.002002239227294922,0.005,True,False
1615644984.9938006,3 2 1,2 3 1,hair,hair,0.0030031204223632812,0.005,True,False
1615644984.9998055,3 2 1,2 3 1,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.0068119,3 2 1,3 2 1,hair,hair,0.002001047134399414,0.005,True,True
1615644985.0128174,3 2 1,3 1 2,hair,hair,0.0020008087158203125,0.005,True,False
1615644985.0198236,3 2 1,1 3 2,hair,hair,0.0020008087158203125,0.005,True,False
1615644985.0258296,3 2 1,3 2 1,hair,hair,0.0020020008087158203,0.005,True,True
1615644985.0318348,3 2 1,1 2 3,hair,hair,0.002002239227294922,0.005,True,False
1615644985.0368397,3 2 1,3 1 2,hair,hair,0.001001119613647461,0.005,True,False
1615644985.0428452,3 2 1,2 3 1,hair,hair,0.002002239227294922,0.005,True,False
1615644985.0498512,3 2 1,2 1 3,hair,hair,0.003002166748046875,0.005,True,False
1615644985.0558572,3 2 1,2 1 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.0618622,3 2 1,2 3 1,hair,hair,0.0020012855529785156,0.005,True,False
1615644985.0688686,3 2 1,1 2 3,hair,hair,0.003002643585205078,0.005,True,False
1615644985.073873,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644985.0808797,3 2 1,2 1 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.0888867,3 2 1,2 1 3,hair,hair,0.002001523971557617,0.005,True,False
1615644985.0948923,3 2 1,2 3 1,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.1008978,3 2 1,2 1 3,hair,hair,0.0030024051666259766,0.005,True,False
1615644985.1059024,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644985.1129084,3 2 1,1 3 2,hair,hair,0.0030024051666259766,0.005,True,False
1615644985.1189141,3 2 1,2 3 1,hair,hair,0.002001523971557617,0.005,True,False
1615644985.1249197,3 2 1,1 2 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.1319258,3 2 1,2 1 3,hair,hair,0.0019998550415039062,0.005,True,False
1615644985.1369302,3 2 1,1 3 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.142936,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644985.1519442,3 2 1,2 3 1,hair,hair,0.005003929138183594,0.005,True,False
1615644985.1639552,3 2 1,1 3 2,hair,hair,0.008006811141967773,0.005,True,False
1615644985.175966,3 2 1,1 2 3,hair,hair,0.008007287979125977,0.005,True,False
1615644985.1819718,3 2 1,1 2 3,hair,hair,0.002001523971557617,0.005,True,False
1615644985.188978,3 2 1,3 1 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.1959856,3 2 1,1 2 3,hair,hair,0.0030035972595214844,0.005,True,False
1615644985.20199,3 2 1,1 3 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.2089958,3 2 1,3 2 1,hair,hair,0.003002166748046875,0.005,True,True
1615644985.2150018,3 2 1,2 3 1,hair,hair,0.0020024776458740234,0.005,True,False
1615644985.221007,3 2 1,3 2 1,hair,hair,0.0020008087158203125,0.005,True,True
1615644985.2270126,3 2 1,2 1 3,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.2340193,3 2 1,1 2 3,hair,hair,0.002002239227294922,0.005,True,False
1615644985.2410252,3 2 1,2 3 1,hair,hair,0.003001689910888672,0.005,True,False
1615644985.2480314,3 2 1,1 3 2,hair,hair,0.0030024051666259766,0.005,True,False
1615644985.2540376,3 2 1,1 2 3,hair,hair,0.002002239227294922,0.005,True,False
1615644985.2610433,3 2 1,3 1 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.2690508,3 2 1,3 1 2,hair,hair,0.004004001617431641,0.005,True,False
1615644985.2750561,3 2 1,3 1 2,hair,hair,0.0010008811950683594,0.005,True,False
1615644985.2820625,3 2 1,1 3 2,hair,hair,0.002001523971557617,0.005,True,False
1615644985.2890694,3 2 1,2 3 1,hair,hair,0.003002643585205078,0.005,True,False
1615644985.2990785,3 2 1,3 2 1,hair,hair,0.00600433349609375,0.005,True,True
1615644985.3040826,3 2 1,2 1 3,hair,hair,0.0010004043579101562,0.005,True,False
1615644985.310088,3 2 1,2 1 3,hair,hair,0.0010006427764892578,0.005,True,False
1615644985.3150926,3 2 1,2 3 1,hair,hair,0.001001119613647461,0.005,True,False
1615644985.3220992,3 2 1,2 3 1,hair,hair,0.002002239227294922,0.005,True,False
1615644985.3281045,3 2 1,2 3 1,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.3351107,3 2 1,3 2 1,hair,hair,0.0020008087158203125,0.005,True,True
1615644985.3421173,3 2 1,1 3 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.3501246,3 2 1,2 1 3,hair,hair,0.003002643585205078,0.005,True,False
1615644985.3561308,3 2 1,3 1 2,hair,hair,0.002002716064453125,0.005,True,False
1615644985.3621356,3 2 1,3 1 2,hair,hair,0.002001523971557617,0.005,True,False
1615644985.3691418,3 2 1,3 2 1,hair,hair,0.0030024051666259766,0.005,True,True
1615644985.375147,3 2 1,1 2 3,hair,hair,0.0030024051666259766,0.005,True,False
1615644985.381153,3 2 1,3 1 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.3871582,3 2 1,2 3 1,hair,hair,0.002001047134399414,0.005,True,False
1615644985.395166,3 2 1,1 3 2,hair,hair,0.004004001617431641,0.005,True,False
1615644985.4001708,3 2 1,3 1 2,hair,hair,0.001001596450805664,0.005,True,False
1615644985.4061759,3 2 1,3 2 1,hair,hair,0.002001047134399414,0.005,True,True
1615644985.4121807,3 2 1,2 1 3,hair,hair,0.0020008087158203125,0.005,True,False
1615644985.4191878,3 2 1,2 3 1,hair,hair,0.0020024776458740234,0.005,True,False
1615644985.4251933,3 2 1,3 1 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.4321992,3 2 1,3 2 1,hair,hair,0.0020017623901367188,0.005,True,True
1615644985.4402063,3 2 1,3 1 2,hair,hair,0.004003286361694336,0.005,True,False
1615644985.445211,3 2 1,1 3 2,hair,hair,0.0010004043579101562,0.005,True,False
1615644985.4502153,3 2 1,2 3 1,hair,hair,0.0010008811950683594,0.005,True,False
1615644985.4562209,3 2 1,2 1 3,hair,hair,0.002000570297241211,0.005,True,False
1615644985.4632277,3 2 1,2 1 3,hair,hair,0.0030028820037841797,0.005,True,False
1615644985.4682317,3 2 1,1 2 3,hair,hair,0.0020008087158203125,0.005,True,False
1615644985.4742374,3 2 1,1 3 2,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.4792433,3 2 1,1 2 3,hair,hair,0.002002716064453125,0.005,True,False
1615644985.4842467,3 2 1,3 2 1,hair,hair,0.002002239227294922,0.005,True,True
1615644985.4902532,3 2 1,1 3 2,hair,hair,0.003004312515258789,0.005,True,False
1615644985.497259,3 2 1,1 2 3,hair,hair,0.0030031204223632812,0.005,True,False
1615644985.5022628,3 2 1,2 1 3,hair,hair,0.0020017623901367188,0.005,True,False
1615644985.5082684,3 2 1,3 1 2,hair,hair,0.002001523971557617,0.005,True,False
1615644985.516276,3 2 1,1 2 3,hair,hair,0.0030031204223632812,0.005,True,False
1615644985.5222814,3 2 1,2 3 1,hair,hair,0.0010008811950683594,0.005,True,False
1615644985.527286,3 2 1,3 2 1,hair,hair,0.0010006427764892578,0.005,True,True
1615644985.5332913,3 2 1,1 3 2,hair,hair,0.0020020008087158203,0.005,True,False
1615644985.540298,3 2 1,3 2 1,hair,hair,0.002001523971557617,0.005,True,True
1615644985.5463033,3 2 1,3 2 1,hair,hair,0.0020020008087158203,0.005,True,True
1615644985.5543103,3 2 1,3 1 2,hair,hair,0.003002643585205078,0.005,True,False
1615644985.561317,3 2 1,2 1 3,hair,hair,0.0030028820037841797,0.005,True,False
